Type,Name,Website,City,State,Category,Notes,Email,Phone,Status,Follow-up Date
Clinic,Concierge MD LA,conciergemdla.com,Los Angeles,CA,Peptide Clinic,Sermorelin PT-141,,,Prospect,
Clinic,Beverly Hills Concierge Doctor,beverlyhillsconciergedoctor.com,Beverly Hills,CA,Peptide Clinic,Dr. Ali concierge,,,Prospect,
Clinic,Wellness at Century City,wellnessatcenturycity.com,Los Angeles,CA,Peptide Clinic,Dr. Jessica Cho,,,Prospect,
Clinic,Alpha Hormones,alphahormones.com,Los Angeles,CA,Peptide Clinic,Accepts insurance,,,Prospect,
Clinic,Angel Longevity Medical Center,angellongevity.com,Studio City,CA,Peptide Clinic,Functional medicine,,,Prospect,
Clinic,Dr. Daniel Benhuri,danielbenhurimd.com,Beverly Hills,CA,Peptide Clinic,Concierge,,,Prospect,
Clinic,Renew Vitality LA,vitalityhrt.com,Los Angeles,CA,Peptide Clinic,Weight loss focus,,,Prospect,
Clinic,Robertson Wellness & Aesthetics,rwacenter.com,Beverly Hills,CA,Peptide Clinic,,,,Prospect,
Clinic,Covalent Health,covalenthealth.org,Miami,FL,Peptide Clinic,Dr. Gabriel Suarez full peptide menu,,(786) 953-8867,Prospect,
Clinic,Integrative Health Miami,integrativehealthmiami.com,Miami,FL,Peptide Clinic,Sleep weight performance,,,Prospect,
Clinic,TribecaMed,tribecamed.com,Miami Beach,FL,Peptide Clinic,FDA-approved only,,(305) 763-8832,Prospect,
Clinic,Vida Integrative Health,vidaintegrativehormones.com,Miami,FL,Peptide Clinic,Dr. Michael Lee,,,Prospect,
Clinic,BODYWELLE,alonsomartinmd.com,Miami Beach,FL,Peptide Clinic,$420 renewals,,,Prospect,
Clinic,Florida Weight Loss MD,floridaweightlossmd.com,Hollywood,FL,Peptide Clinic,Virtual + walk-in,,(954) 551-3508,Prospect,
Clinic,Miami Stem Cell,stemcellmia.com,South Miami,FL,Peptide Clinic,15+ years experience,,,Prospect,
Clinic,Elevate Miami,elevate-miami.com,Miami,FL,Peptide Clinic,BPC-157 focus,,,Prospect,
Clinic,Dr. Shel Wellness,drshel.com,Houston,TX,Peptide Clinic,Injection cream capsule,,(281) 313-7435,Prospect,
Clinic,Houston Regenerative Therapy,houstonrt.com,Houston,TX,Peptide Clinic,Whole body approach,,(713) 777-7888,Prospect,
Clinic,HTX Urology,htxurology.com,Webster,TX,Peptide Clinic,Men's health,,,Prospect,
Clinic,Houston Spine & Rehab,spineandrehab.com,Houston,TX,Peptide Clinic,Sublingual options,,,Prospect,
Clinic,Revived Personalized Wellness,myrevived.com,Houston,TX,Peptide Clinic,9+ years experience,,,Prospect,
Clinic,Houston Regenerative Medicine,houstonregenerativemd.com,Houston,TX,Peptide Clinic,Natural peptides,,,Prospect,
Clinic,Performance Pain,performancepain.com,Houston,TX,Peptide Clinic,60 FDA approved peptides,,(346) 217-1111,Prospect,
Clinic,Houston Concierge Medicine,houstonconciergemedicine.com,Houston,TX,Peptide Clinic,$125 consult,,,Prospect,
Clinic,Houston Men's Health Clinic,houstonmensclinic.com,Houston,TX,Peptide Clinic,Dr. Darryl Camp,,(713) 770-6226,Prospect,
Clinic,Enovative Wellness Center,enovativewellness.com,Phoenix,AZ,Peptide Clinic,TRT peptides NAD,,,Prospect,
Clinic,Renew Vitality Phoenix,vitalityhrt.com,Phoenix,AZ,Peptide Clinic,Weight loss,,,Prospect,
Clinic,Dr. Roz Naturopathic,drroznmd.com,Phoenix,AZ,Peptide Clinic,Naturopathic,,,Prospect,
Clinic,Valley Healthspan,valleyhealthspan.com,Phoenix,AZ,Peptide Clinic,,,,Prospect,
Clinic,TriMotus,trimotus.com,Paradise Valley,AZ,Peptide Clinic,Pharmacy grade,,,Prospect,
Clinic,Beso Wellness,besowb.com,Phoenix,AZ,Peptide Clinic,503A 503B pharmacies,,,Prospect,
Clinic,4Ever Young Scottsdale,4everyoungantiaging.com,Scottsdale,AZ,Peptide Clinic,Anti-aging,,,Prospect,
Clinic,Modern Therapeutics,moderntherapeuticsaz.com,Scottsdale,AZ,Peptide Clinic,,,,Prospect,
Clinic,Modernized Wellness,modernizedwellness.com,Scottsdale,AZ,Peptide Clinic,Free consult,,,Prospect,
Clinic,Real Results Medical,realresultsmedical.com,Scottsdale,AZ,Peptide Clinic,,,,Prospect,
Clinic,Nip & Tuck,drnipandtuck.com,Sandy Springs,GA,Peptide Clinic,Dr. Nicholas Jones,,,Prospect,
Clinic,Elevate Wellness Clinic,elevateatl.com,Atlanta,GA,Peptide Clinic,Holistic,,,Prospect,
Clinic,Synergy Release Sports,synergyreleasesports.com,Atlanta,GA,Peptide Clinic,Piedmont Rd,,,Prospect,
Clinic,Age Well ATL,agewellatl.net,Atlanta,GA,Peptide Clinic,Blood sample required,,,Prospect,
Clinic,Progressive Medical Center,progressivemedicalcenter.com,Atlanta,GA,Peptide Clinic,Integrative,,,Prospect,
Clinic,ReBalanced Wellness,rebalancedwellnessclinic.com,Atlanta,GA,Peptide Clinic,Personalized plans,,,Prospect,
Clinic,Chin Up Aesthetics,chinupaesthetics.com,Atlanta,GA,Peptide Clinic,3 locations,,,Prospect,
Clinic,Spa Sydell,spasydell.com,Alpharetta,GA,Peptide Clinic,,,,Prospect,
Clinic,ThriveMD Dallas,thrivemddallas.com,Dallas,TX,Peptide Clinic,Whole body approach,,,Prospect,
Clinic,OMNI SCULPT MD,omnisculptmd.com,Dallas,TX,Peptide Clinic,Prescription grade only,,(214) 988-9188,Prospect,
Clinic,Aspire Rejuvenation,aspirerejuvenation.com,Dallas,TX,Peptide Clinic,Fat loss peptides,,,Prospect,
Clinic,Formula Wellness,formulawellness.com,Dallas,TX,Peptide Clinic,Inflammation hormones,,(214) 931-9443,Prospect,
Clinic,DFW Concierge MD,dfwconciergemd.com,Dallas,TX,Peptide Clinic,,,,Prospect,
Clinic,Vitalyc MedSpa,vitalyc.com,Dallas,TX,Peptide Clinic,Multiple locations,,(866) 868-2248,Prospect,
Clinic,Integrative Wellness Fx,integrativewellnessfx.com,Dallas,TX,Peptide Clinic,Dallas + Fort Worth,,,Prospect,
Clinic,Executive Medicine of Texas,emtexas.com,Dallas,TX,Peptide Clinic,PT-141 BPC-157,,,Prospect,
Clinic,Vitalogy Denver,vitalogydenver.com,Denver,CO,Peptide Clinic,Cherry Creek North,,,Prospect,
Clinic,Denver Regenerative Medicine,denverregenerativemedicine.com,Denver,CO,Peptide Clinic,Top provider,,,Prospect,
Clinic,R2 Medical Clinic,r2medicalclinic.com,Denver,CO,Peptide Clinic,TRT NAD+,,,Prospect,
Clinic,Denver Wellness & Aesthetics,denverwellnessaesthetic.com,Englewood,CO,Peptide Clinic,Comprehensive program,,,Prospect,
Clinic,Gleam Medical Spa,gleammedspa.com,Denver,CO,Peptide Clinic,Since 2015,,(720) 730-2246,Prospect,
Clinic,Balanced Healthcare,balancedhc.org,Denver,CO,Peptide Clinic,Concierge practice,,,Prospect,
Clinic,Aria Integrative Health,ariaintegrativehealth.com,Denver,CO,Peptide Clinic,Premier provider,,,Prospect,
Clinic,Denver Sports Recovery,denversportsrecovery.com,Denver,CO,Peptide Clinic,Athletes,,,Prospect,
Clinic,Renew Vitality San Diego,vitalityhrt.com,San Diego,CA,Peptide Clinic,Weight loss,,,Prospect,
Clinic,Nowak Aesthetics,drnowak.com,Chula Vista,CA,Peptide Clinic,Dermatologist 25 years,,,Prospect,
